2018-01-10 11:39:27.520 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest], using SpringBootContextLoader
2018-01-10 11:39:27.602 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 11:39:27.856 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 11:39:28.042 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3e0e1046, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24c1b2d2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7dc19a70, org.springframework.test.context.support.DirtiesContextTestExecutionListener@508dec2b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1e4f4a5c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@37313c65, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@465232e9, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@798162bc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1df8da7a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@23941fb4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7486b455, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@660acfb]
2018-01-10 11:45:03.872 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest], using SpringBootContextLoader
2018-01-10 11:45:03.887 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 11:45:04.026 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 11:45:04.059 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@38145825, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@41330d4f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1b66c0fb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3e0e1046, org.springframework.test.context.transaction.TransactionalTestExecutionListener@24c1b2d2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7dc19a70, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@508dec2b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e4f4a5c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@37313c65, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@465232e9, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@798162bc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1df8da7a]
2018-01-10 12:24:50.408 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest], using SpringBootContextLoader
2018-01-10 12:24:50.426 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [org.springstudy.springBoot.test.activemq.SpringbootJmsApplicationTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 12:24:50.602 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 12:24:50.645 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@41330d4f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1b66c0fb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3e0e1046, org.springframework.test.context.support.DirtiesContextTestExecutionListener@24c1b2d2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7dc19a70, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@508dec2b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1e4f4a5c, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@37313c65, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@465232e9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@798162bc, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1df8da7a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@23941fb4]
